2026-01-28T09:28:26.745689105Z I0128 09:28:26.745587       1 serving.go:386] Generated self-signed cert in-memory
2026-01-28T09:28:26.745689105Z W0128 09:28:26.745649       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2026-01-28T09:28:26.745935016Z I0128 09:28:26.745902       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-01-28T09:28:26.745935016Z I0128 09:28:26.745924       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2026-01-28T09:28:26.745935016Z I0128 09:28:26.745928       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
2026-01-28T09:28:26.745935016Z I0128 09:28:26.745932       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2026-01-28T09:28:26.745949396Z I0128 09:28:26.745935       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-01-28T09:28:26.748904364Z I0128 09:28:26.748875       1 aws_sdk.go:213] "instance metadata identity" region="us-west-1" availability-zone="us-west-1c" instance-type="m6a.xlarge" architecture="x86_64" instance-id="i-010583ba086028d2a" private-ip="10.0.108.54" account-id="387344700001" image-id="ami-07680a1b8de089d13"
2026-01-28T09:28:26.748961856Z I0128 09:28:26.748906       1 config.go:140] Loading region from metadata service
2026-01-28T09:28:26.751225844Z I0128 09:28:26.751199       1 aws.go:543] Building AWS cloudprovider
2026-01-28T09:28:26.754065097Z I0128 09:28:26.754040       1 aws_sdk.go:213] "instance metadata identity" region="us-west-1" availability-zone="us-west-1c" instance-type="m6a.xlarge" architecture="x86_64" instance-id="i-010583ba086028d2a" private-ip="10.0.108.54" account-id="387344700001" image-id="ami-07680a1b8de089d13"
2026-01-28T09:28:26.754065097Z I0128 09:28:26.754056       1 config.go:140] Loading region from metadata service
2026-01-28T09:28:26.858509729Z I0128 09:28:26.858462       1 batcher.go:146] Batch processing duration: 100.185958ms
2026-01-28T09:28:26.858540800Z I0128 09:28:26.858505       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:26.858552751Z I0128 09:28:26.858521       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:27.081638343Z I0128 09:28:27.081578       1 tags.go:81] AWS cloud filtering on ClusterID: ci-ln-vjb5l1t-76ef8-snmcd
2026-01-28T09:28:27.081638343Z I0128 09:28:27.081606       1 aws.go:629] The following IP families will be added to nodes: [ipv4]
2026-01-28T09:28:27.081692615Z I0128 09:28:27.081647       1 controllermanager.go:160] Version: v0.0.0-master+$Format:%H$
2026-01-28T09:28:27.082264390Z I0128 09:28:27.082243       1 leaderelection.go:257] attempting to acquire leader lease openshift-cloud-controller-manager/cloud-controller-manager...
2026-01-28T09:28:27.093205202Z I0128 09:28:27.093178       1 leaderelection.go:271] successfully acquired lease openshift-cloud-controller-manager/cloud-controller-manager
