2026-01-28T09:32:03.881599758Z I0128 09:32:03.881449       1 cmd.go:253] Using service-serving-cert provided certificates
2026-01-28T09:32:03.881744655Z I0128 09:32:03.881721       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:32:03.883674381Z I0128 09:32:03.883654       1 observer_polling.go:159] Starting file observer
2026-01-28T09:32:03.896734207Z I0128 09:32:03.896695       1 builder.go:304] kube-apiserver-operator version 4.20.0-202601161812.p2.g974542a.assembly.stream.el9-974542a-974542ae2ef86a631546b3a48fd0da3c2e3b74dd
2026-01-28T09:32:04.340780059Z I0128 09:32:04.340737       1 secure_serving.go:57] Forcing use of http/1.1 only
2026-01-28T09:32:04.340845082Z W0128 09:32:04.340832       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:32:04.340873443Z W0128 09:32:04.340863       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:32:04.340923336Z W0128 09:32:04.340911       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_GCM_SHA256' detected.
2026-01-28T09:32:04.340951287Z W0128 09:32:04.340941       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_GCM_SHA384' detected.
2026-01-28T09:32:04.340986359Z W0128 09:32:04.340966       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_CBC_SHA' detected.
2026-01-28T09:32:04.341017450Z W0128 09:32:04.341007       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_CBC_SHA' detected.
2026-01-28T09:32:04.359861063Z I0128 09:32:04.359817       1 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
2026-01-28T09:32:04.359941487Z I0128 09:32:04.359924       1 shared_informer.go:350] "Waiting for caches to sync" controller="RequestHeaderAuthRequestController"
2026-01-28T09:32:04.359995420Z I0128 09:32:04.359984       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:04.360084204Z I0128 09:32:04.360013       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:04.360129726Z I0128 09:32:04.360119       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:04.360157128Z I0128 09:32:04.360147       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:04.364225439Z I0128 09:32:04.364203       1 leaderelection.go:257] attempting to acquire leader lease openshift-kube-apiserver-operator/kube-apiserver-operator-lock...
2026-01-28T09:32:04.372045016Z I0128 09:32:04.371277       1 leaderelection.go:271] successfully acquired lease openshift-kube-apiserver-operator/kube-apiserver-operator-lock
2026-01-28T09:32:04.372045016Z I0128 09:32:04.371555       1 event.go:377] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-kube-apiserver-operator", Name:"kube-apiserver-operator-lock", UID:"856a4d80-ae44-49ba-9652-48cc2e7678fd", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"10999", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' kube-apiserver-operator-766b8bd8b7-6fdbx_502f1484-512c-4b4a-a9be-519532293b54 became leader
2026-01-28T09:32:04.383393767Z I0128 09:32:04.383349       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2026-01-28T09:32:04.407760523Z I0128 09:32:04.387387       1 secure_serving.go:211] Serving securely on [::]:8443
2026-01-28T09:32:04.407760523Z I0128 09:32:04.387403       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-01-28T09:32:04.408007035Z I0128 09:32:04.407968       1 simple_featuregate_reader.go:171] Starting feature-gate-detector
2026-01-28T09:32:04.419776878Z I0128 09:32:04.419720       1 starter.go:164] FeatureGates initialized: knownFeatureGates=[AdditionalRoutingCapabilities AdminNetworkPolicy AlibabaPlatform AzureWorkloadIdentity BuildCSIVolumes CPMSMachineNamePrefix ConsolePluginContentSecurityPolicy ExternalOIDC ExternalOIDCWithUIDAndExtraClaimMappings GatewayAPI GatewayAPIController HighlyAvailableArbiter ImageVolume IngressControllerLBSubnetsAWS KMSv1 MachineConfigNodes ManagedBootImages ManagedBootImagesAWS MetricsCollectionProfiles NetworkDiagnosticsConfig NetworkLiveMigration NetworkSegmentation NewOLM PinnedImages PreconfiguredUDNAddresses ProcMountType RouteAdvertisements RouteExternalCertificate ServiceAccountTokenNodeBinding SetEIPForNLBIngressController SigstoreImageVerification StoragePerformantSecurityPolicy UpgradeStatus UserNamespacesPodSecurityStandards UserNamespacesSupport VSphereMultiDisk VSphereMultiNetworks AWSClusterHostedDNS AWSClusterHostedDNSInstall AWSDedicatedHosts AWSServiceLBNetworkSecurityGroup AutomatedEtcdBackup AzureClusterHostedDNSInstall AzureDedicatedHosts AzureMultiDisk BootImageSkewEnforcement BootcNodeManagement ClusterAPIInstall ClusterAPIInstallIBMCloud ClusterMonitoringConfig ClusterVersionOperatorConfiguration DNSNameResolver DualReplica DyanmicServiceEndpointIBMCloud DynamicResourceAllocation EtcdBackendQuota EventedPLEG Example Example2 ExternalSnapshotMetadata GCPClusterHostedDNS GCPClusterHostedDNSInstall GCPCustomAPIEndpoints GCPCustomAPIEndpointsInstall ImageModeStatusReporting ImageStreamImportMode IngressControllerDynamicConfigurationManager InsightsConfig InsightsConfigAPI InsightsOnDemandDataGather IrreconcilableMachineConfig KMSEncryptionProvider MachineAPIMigration MachineAPIOperatorDisableMachineHealthCheckController ManagedBootImagesAzure ManagedBootImagesvSphere MaxUnavailableStatefulSet MinimumKubeletVersion MixedCPUsAllocation MultiArchInstallAzure MultiDiskSetup MutatingAdmissionPolicy NewOLMCatalogdAPIV1Metas NewOLMOwnSingleNamespace NewOLMPreflightPermissionChecks NewOLMWebhookProviderOpenshiftServiceCA NoRegistryClusterOperations NodeSwap NutanixMultiSubnets OVNObservability OpenShiftPodSecurityAdmission SELinuxMount ShortCertRotation SignatureStores SigstoreImageVerificationPKI TranslateStreamCloseWebsocketRequests VSphereConfigurableMaxAllowedBlockVolumesPerNode VSphereHostVMGroupZonal VSphereMixedNodeEnv VolumeAttributesClass VolumeGroupSnapshot]
