2026-01-28T09:46:08.935608451Z I0128 09:46:08.935502       1 base_controller.go:76] Waiting for caches to sync for CertSyncController
2026-01-28T09:46:08.935810616Z I0128 09:46:08.935794       1 observer_polling.go:159] Starting file observer
2026-01-28T09:46:09.035997547Z I0128 09:46:09.035908       1 base_controller.go:82] Caches are synced for CertSyncController 
2026-01-28T09:46:09.035997547Z I0128 09:46:09.035978       1 base_controller.go:119] Starting #1 worker of CertSyncController controller ...
2026-01-28T09:46:09.036109299Z I0128 09:46:09.036048       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:46:09.036321094Z I0128 09:46:09.036297       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:47:00.523476342Z I0128 09:47:00.523411       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:47:00.523685016Z I0128 09:47:00.523651       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:47:00.524351851Z I0128 09:47:00.523853       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:47:00.524351851Z I0128 09:47:00.524202       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:47:07.136232321Z I0128 09:47:07.136174       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:47:07.136501817Z I0128 09:47:07.136467       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:47:07.136647460Z I0128 09:47:07.136604       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:47:07.136781563Z I0128 09:47:07.136760       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:57:00.524358469Z I0128 09:57:00.524279       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
