2026-01-28T09:48:27.675684222Z I0128 09:48:27.675567       1 observer_polling.go:159] Starting file observer
2026-01-28T09:48:27.675919656Z I0128 09:48:27.675723       1 base_controller.go:76] Waiting for caches to sync for CertSyncController
2026-01-28T09:48:27.778302080Z I0128 09:48:27.777865       1 base_controller.go:82] Caches are synced for CertSyncController 
2026-01-28T09:48:27.778302080Z I0128 09:48:27.777919       1 base_controller.go:119] Starting #1 worker of CertSyncController controller ...
2026-01-28T09:48:27.778302080Z I0128 09:48:27.777982       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:48:27.778302080Z I0128 09:48:27.778206       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:54:40.417314875Z I0128 09:54:40.417242       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:54:40.417494079Z I0128 09:54:40.417470       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:54:40.417618332Z I0128 09:54:40.417588       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:54:40.418126623Z I0128 09:54:40.417726       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:54:40.418126623Z I0128 09:54:40.417822       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:54:40.418126623Z I0128 09:54:40.417987       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:54:41.915560375Z I0128 09:54:41.915493       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:54:41.915962034Z I0128 09:54:41.915933       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:54:41.916102307Z I0128 09:54:41.916060       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:54:41.916395584Z I0128 09:54:41.916364       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:04:40.418193110Z I0128 10:04:40.418133       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:04:40.418450755Z I0128 10:04:40.418426       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:04:40.418568468Z I0128 10:04:40.418544       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:04:40.418699461Z I0128 10:04:40.418674       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:04:41.916140973Z I0128 10:04:41.916067       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:04:41.916345077Z I0128 10:04:41.916317       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:04:41.916458860Z I0128 10:04:41.916433       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:04:41.917168565Z I0128 10:04:41.917138       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:14:40.419200584Z I0128 10:14:40.419125       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:14:40.419381198Z I0128 10:14:40.419348       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:14:40.419478080Z I0128 10:14:40.419458       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:14:40.419608903Z I0128 10:14:40.419591       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:14:41.916589860Z I0128 10:14:41.916527       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:14:41.916844326Z I0128 10:14:41.916816       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:24:40.419454884Z I0128 10:24:40.419350       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:24:40.419650418Z I0128 10:24:40.419624       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:24:40.419745800Z I0128 10:24:40.419726       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:24:40.419908164Z I0128 10:24:40.419869       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:24:41.916733604Z I0128 10:24:41.916673       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:24:41.916958788Z I0128 10:24:41.916925       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
