2026-01-28T09:32:48.953960600Z I0128 09:32:48.953762       1 main.go:25] Go Version: go1.24.11 (Red Hat 1.24.11-1.el9_6) X:strictfipsruntime
2026-01-28T09:32:48.962217740Z I0128 09:32:48.962188       1 main.go:26] Go OS/Arch: linux/amd64
2026-01-28T09:32:48.962242321Z I0128 09:32:48.962214       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:32:48.962496515Z I0128 09:32:48.962470       1 leaderelection.go:121] The leader election gives 4 retries and allows for 13s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m26s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:32:48.962537536Z I0128 09:32:48.962524       1 main.go:99] Watching machine-api objects only in namespace "openshift-machine-api" for reconciliation.
2026-01-28T09:32:48.962704039Z I0128 09:32:48.962674       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2026-01-28T09:32:48.962704039Z I0128 09:32:48.962692       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-01-28T09:32:48.962704039Z I0128 09:32:48.962698       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-01-28T09:32:48.962733389Z I0128 09:32:48.962703       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2026-01-28T09:32:48.962733389Z I0128 09:32:48.962708       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
2026-01-28T09:32:48.963139056Z I0128 09:32:48.963113       1 main.go:107] Registering Components.
2026-01-28T09:32:48.998315805Z I0128 09:32:48.998282       1 main.go:119] Starting the Cmd.
2026-01-28T09:32:48.998793423Z I0128 09:32:48.998773       1 reflector.go:357] "Starting reflector" type="*v1beta1.Machine" resyncPeriod="10h51m37.477819617s" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:48.998831303Z I0128 09:32:48.998821       1 reflector.go:403] "Listing and watching" type="*v1beta1.Machine" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:49.004525160Z I0128 09:32:49.004497       1 reflector.go:357] "Starting reflector" type="*v1.Node" resyncPeriod="9h21m57.648467973s" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:49.004585261Z I0128 09:32:49.004572       1 reflector.go:403] "Listing and watching" type="*v1.Node" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:49.009549146Z I0128 09:32:49.009525       1 reflector.go:430] "Caches populated" type="*v1.Node" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:49.009730909Z I0128 09:32:49.009712       1 nodelink_controller.go:57] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for node "ip-10-0-102-200.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.009767129Z I0128 09:32:49.009756       1 nodelink_controller.go:91] Adding internal IP "10.0.102.200" for node "ip-10-0-102-200.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.009802560Z I0128 09:32:49.009790       1 nodelink_controller.go:57] Adding providerID "aws:///us-west-1c/i-010583ba086028d2a" for node "ip-10-0-108-54.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.009874261Z I0128 09:32:49.009820       1 nodelink_controller.go:91] Adding internal IP "10.0.108.54" for node "ip-10-0-108-54.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.009944392Z I0128 09:32:49.009932       1 nodelink_controller.go:57] Adding providerID "aws:///us-west-1a/i-056ab182efb057c55" for node "ip-10-0-3-203.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.009989833Z I0128 09:32:49.009978       1 nodelink_controller.go:91] Adding internal IP "10.0.3.203" for node "ip-10-0-3-203.us-west-1.compute.internal" to indexer
2026-01-28T09:32:49.011506849Z I0128 09:32:49.011484       1 reflector.go:430] "Caches populated" type="*v1beta1.Machine" reflector="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108"
2026-01-28T09:32:49.107352280Z I0128 09:32:49.107317       1 leaderelection.go:257] attempting to acquire leader lease openshift-machine-api/cluster-api-provider-nodelink-leader...
