2026-01-28T09:31:54.978836749Z I0128 09:31:54.978191       1 start.go:52] Version: 4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest (Raw: 3ce6221a, Hash: 4593e456f3b51f4c6c458c00752e38f2687baedc)
2026-01-28T09:31:54.994075803Z I0128 09:31:54.991442       1 metrics.go:92] Registering Prometheus metrics
2026-01-28T09:31:54.994075803Z I0128 09:31:54.991502       1 metrics.go:99] Starting metrics listener on 127.0.0.1:8797
2026-01-28T09:31:55.006150590Z I0128 09:31:55.006047       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:31:55.446514231Z I0128 09:31:55.446265       1 leaderelection.go:257] attempting to acquire leader lease openshift-machine-config-operator/machine-config...
2026-01-28T09:31:55.459691283Z I0128 09:31:55.459661       1 leaderelection.go:271] successfully acquired lease openshift-machine-config-operator/machine-config
2026-01-28T09:31:55.698861608Z I0128 09:31:55.698820       1 simple_featuregate_reader.go:171] Starting feature-gate-detector
2026-01-28T09:31:56.085439837Z I0128 09:31:56.085373       1 featuregates.go:112] FeatureGates initialized: enabled=[AdditionalRoutingCapabilities AdminNetworkPolicy AlibabaPlatform AzureWorkloadIdentity BuildCSIVolumes CPMSMachineNamePrefix ConsolePluginContentSecurityPolicy ExternalOIDC ExternalOIDCWithUIDAndExtraClaimMappings GatewayAPI GatewayAPIController HighlyAvailableArbiter ImageVolume IngressControllerLBSubnetsAWS KMSv1 MachineConfigNodes ManagedBootImages ManagedBootImagesAWS MetricsCollectionProfiles NetworkDiagnosticsConfig NetworkLiveMigration NetworkSegmentation NewOLM PinnedImages PreconfiguredUDNAddresses ProcMountType RouteAdvertisements RouteExternalCertificate ServiceAccountTokenNodeBinding SetEIPForNLBIngressController SigstoreImageVerification StoragePerformantSecurityPolicy UpgradeStatus UserNamespacesPodSecurityStandards UserNamespacesSupport VSphereMultiDisk VSphereMultiNetworks], disabled=[AWSClusterHostedDNS AWSClusterHostedDNSInstall AWSDedicatedHosts AWSServiceLBNetworkSecurityGroup AutomatedEtcdBackup AzureClusterHostedDNSInstall AzureDedicatedHosts AzureMultiDisk BootImageSkewEnforcement BootcNodeManagement ClusterAPIInstall ClusterAPIInstallIBMCloud ClusterMonitoringConfig ClusterVersionOperatorConfiguration DNSNameResolver DualReplica DyanmicServiceEndpointIBMCloud DynamicResourceAllocation EtcdBackendQuota EventedPLEG Example Example2 ExternalSnapshotMetadata GCPClusterHostedDNS GCPClusterHostedDNSInstall GCPCustomAPIEndpoints GCPCustomAPIEndpointsInstall ImageModeStatusReporting ImageStreamImportMode IngressControllerDynamicConfigurationManager InsightsConfig InsightsConfigAPI InsightsOnDemandDataGather IrreconcilableMachineConfig KMSEncryptionProvider MachineAPIMigration MachineAPIOperatorDisableMachineHealthCheckController ManagedBootImagesAzure ManagedBootImagesvSphere MaxUnavailableStatefulSet MinimumKubeletVersion MixedCPUsAllocation MultiArchInstallAzure MultiDiskSetup MutatingAdmissionPolicy NewOLMCatalogdAPIV1Metas NewOLMOwnSingleNamespace NewOLMPreflightPermissionChecks NewOLMWebhookProviderOpenshiftServiceCA NoRegistryClusterOperations NodeSwap NutanixMultiSubnets OVNObservability OpenShiftPodSecurityAdmission SELinuxMount ShortCertRotation SignatureStores SigstoreImageVerificationPKI TranslateStreamCloseWebsocketRequests VSphereConfigurableMaxAllowedBlockVolumesPerNode VSphereHostVMGroupZonal VSphereMixedNodeEnv VolumeAttributesClass VolumeGroupSnapshot]
2026-01-28T09:31:56.085867138Z I0128 09:31:56.085829       1 event.go:377] Event(v1.ObjectReference{Kind:"Node", Namespace:"openshift-machine-config-operator", Name:"ip-10-0-102-200.us-west-1.compute.internal", UID:"64bba62c-c331-4f4e-9112-9298c88bdae0", APIVersion:"v1", ResourceVersion:"", FieldPath:""}): type: 'Normal' reason: 'FeatureGatesInitialized' FeatureGates updated to featuregates.Features{Enabled:[]v1.FeatureGateName{"AdditionalRoutingCapabilities", "AdminNetworkPolicy", "AlibabaPlatform", "AzureWorkloadIdentity", "BuildCSIVolumes", "CPMSMachineNamePrefix", "ConsolePluginContentSecurityPolicy", "ExternalOIDC", "ExternalOIDCWithUIDAndExtraClaimMappings", "GatewayAPI", "GatewayAPIController", "HighlyAvailableArbiter", "ImageVolume", "IngressControllerLBSubnetsAWS", "KMSv1", "MachineConfigNodes", "ManagedBootImages", "ManagedBootImagesAWS", "MetricsCollectionProfiles", "NetworkDiagnosticsConfig", "NetworkLiveMigration", "NetworkSegmentation", "NewOLM", "PinnedImages", "PreconfiguredUDNAddresses", "ProcMountType", "RouteAdvertisements", "RouteExternalCertificate", "ServiceAccountTokenNodeBinding", "SetEIPForNLBIngressController", "SigstoreImageVerification", "StoragePerformantSecurityPolicy", "UpgradeStatus", "UserNamespacesPodSecurityStandards", "UserNamespacesSupport", "VSphereMultiDisk", "VSphereMultiNetworks"}, Disabled:[]v1.FeatureGateName{"AWSClusterHostedDNS", "AWSClusterHostedDNSInstall", "AWSDedicatedHosts", "AWSServiceLBNetworkSecurityGroup", "AutomatedEtcdBackup", "AzureClusterHostedDNSInstall", "AzureDedicatedHosts", "AzureMultiDisk", "BootImageSkewEnforcement", "BootcNodeManagement", "ClusterAPIInstall", "ClusterAPIInstallIBMCloud", "ClusterMonitoringConfig", "ClusterVersionOperatorConfiguration", "DNSNameResolver", "DualReplica", "DyanmicServiceEndpointIBMCloud", "DynamicResourceAllocation", "EtcdBackendQuota", "EventedPLEG", "Example", "Example2", "ExternalSnapshotMetadata", "GCPClusterHostedDNS", "GCPClusterHostedDNSInstall", "GCPCustomAPIEndpoints", "GCPCustomAPIEndpointsInstall", "ImageModeStatusReporting", "ImageStreamImportMode", "IngressControllerDynamicConfigurationManager", "InsightsConfig", "InsightsConfigAPI", "InsightsOnDemandDataGather", "IrreconcilableMachineConfig", "KMSEncryptionProvider", "MachineAPIMigration", "MachineAPIOperatorDisableMachineHealthCheckController", "ManagedBootImagesAzure", "ManagedBootImagesvSphere", "MaxUnavailableStatefulSet", "MinimumKubeletVersion", "MixedCPUsAllocation", "MultiArchInstallAzure", "MultiDiskSetup", "MutatingAdmissionPolicy", "NewOLMCatalogdAPIV1Metas", "NewOLMOwnSingleNamespace", "NewOLMPreflightPermissionChecks", "NewOLMWebhookProviderOpenshiftServiceCA", "NoRegistryClusterOperations", "NodeSwap", "NutanixMultiSubnets", "OVNObservability", "OpenShiftPodSecurityAdmission", "SELinuxMount", "ShortCertRotation", "SignatureStores", "SigstoreImageVerificationPKI", "TranslateStreamCloseWebsocketRequests", "VSphereConfigurableMaxAllowedBlockVolumesPerNode", "VSphereHostVMGroupZonal", "VSphereMixedNodeEnv", "VolumeAttributesClass", "VolumeGroupSnapshot"}}
2026-01-28T09:31:56.631866486Z I0128 09:31:56.631413       1 operator.go:395] Starting MachineConfigOperator
2026-01-28T09:31:56.637069743Z I0128 09:31:56.637032       1 event.go:377] Event(v1.ObjectReference{Kind:"ClusterOperator", Namespace:"openshift-machine-config-operator", Name:"machine-config", UID:"7fb3b117-cda2-4637-9e5e-efec08fdf04c", APIVersion:"", ResourceVersion:"", FieldPath:""}): type: 'Normal' reason: 'OperatorVersionChanged' clusteroperator/machine-config started a version change from [] to [{operator 4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest} {operator-image registry.build11.ci.openshift.org/ci-ln-vjb5l1t/stable@sha256:f531950bc313d9e80aea72aa532209085d8c1d67017055da1fae01f7ad4ac98b}]
2026-01-28T09:31:56.644552123Z I0128 09:31:56.644531       1 sync.go:409] creating merged-trusted-image-registry-ca
2026-01-28T09:31:56.673524177Z I0128 09:31:56.673491       1 sync.go:2212] MachineConfiguration object doesn't exist; a new one will be created
2026-01-28T09:31:56.688568971Z I0128 09:31:56.688533       1 helpers.go:74] No primary pool is associated with node: ip-10-0-108-54.us-west-1.compute.internal
2026-01-28T09:31:56.730844203Z I0128 09:31:56.730796       1 helpers.go:74] No primary pool is associated with node: ip-10-0-3-203.us-west-1.compute.internal
2026-01-28T09:31:56.766223054Z I0128 09:31:56.765717       1 helpers.go:74] No primary pool is associated with node: ip-10-0-102-200.us-west-1.compute.internal
2026-01-28T09:32:00.731738911Z I0128 09:32:00.731657       1 warnings.go:110] "Warning: spec.template.spec.containers[0].ports[0]: hostIP set without hostPort: {Name:health HostPort:0 ContainerPort:8798 Protocol:TCP HostIP:127.0.0.1}"
2026-01-28T09:32:08.971500041Z I0128 09:32:08.970948       1 warnings.go:110] "Warning: spec.template.spec.nodeSelector[node-role.kubernetes.io/master]: use \"node-role.kubernetes.io/control-plane\" instead"
2026-01-28T09:32:23.974848248Z E0128 09:32:23.974804       1 sync.go:997] Could not get in-cluster server-ca data configmap "kube-apiserver-server-ca" not found
2026-01-28T09:32:23.976581354Z I0128 09:32:23.976559       1 machineconfig.go:84] ControllerConfig not found, creating new one
2026-01-28T09:32:26.421281209Z I0128 09:32:26.421236       1 warnings.go:110] "Warning: spec.template.spec.nodeSelector[node-role.kubernetes.io/master]: use \"node-role.kubernetes.io/control-plane\" instead"
2026-01-28T09:32:28.839327434Z E0128 09:32:28.839284       1 sync.go:1753] Error syncing Required MachineConfigPools: %!q(<nil>)
2026-01-28T09:32:28.839718284Z I0128 09:32:28.839689       1 event.go:377] Event(v1.ObjectReference{Kind:"ClusterOperator", Namespace:"openshift-machine-config-operator", Name:"machine-config", UID:"7fb3b117-cda2-4637-9e5e-efec08fdf04c", APIVersion:"", ResourceVersion:"", FieldPath:""}): type: 'Warning' reason: 'OperatorDegraded: RequiredPoolsFailed' Unable to apply 4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest: error during syncRequiredMachineConfigPools: context deadline exceeded
2026-01-28T09:32:28.847612925Z E0128 09:32:28.847581       1 sync.go:2231] Failed to stamp bootimages configmap: failed to grab rendered MC , error: machineconfig.machineconfiguration.openshift.io "" not found
2026-01-28T09:32:28.847716720Z I0128 09:32:28.847660       1 sync.go:2275] Updating MachineConfiguration status &{1 [] {{[{/var/lib/kubelet/config.json [{None <nil> <nil>}]} {/etc/machine-config-daemon/no-reboot/containers-gpg.pub [{Reload 0x4a5fe60 <nil>}]} {/etc/containers/policy.json [{Reload 0x4a5fe70 <nil>}]} {/etc/containers/registries.conf [{Special <nil> <nil>}]} {/etc/containers/registries.d [{Reload 0x4a5fe80 <nil>}]} {/etc/crio/policies [{Reload 0x4a5fe90 <nil>}]} {/etc/nmstate/openshift [{None <nil> <nil>}]} {/etc/pki/ca-trust/source/anchors/openshift-config-user-ca-bundle.crt [{Restart <nil> 0x4a5fea0} {Restart <nil> 0x4a5feb0}]}] [] {[{None <nil> <nil>}]}}} {[{machinesets machine.openshift.io {All <nil>}}]}}
2026-01-28T09:32:28.847747211Z I0128 09:32:28.847737       1 sync.go:2277] No boot image configuration detected, default boot image configuration was applied
2026-01-28T09:32:28.847967812Z I0128 09:32:28.847943       1 event.go:377] Event(v1.ObjectReference{Kind:"ClusterOperator", Namespace:"openshift-machine-config-operator", Name:"machine-config", UID:"7fb3b117-cda2-4637-9e5e-efec08fdf04c", APIVersion:"", ResourceVersion:"", FieldPath:""}): type: 'Normal' reason: 'OperatorVersionChanged' clusteroperator/machine-config started a version change from [] to [{operator 4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest} {operator-image registry.build11.ci.openshift.org/ci-ln-vjb5l1t/stable@sha256:f531950bc313d9e80aea72aa532209085d8c1d67017055da1fae01f7ad4ac98b}]
2026-01-28T09:32:33.249108665Z E0128 09:32:33.249071       1 sync.go:997] Could not get in-cluster server-ca data configmap "kube-apiserver-server-ca" not found
