2026-01-28T09:31:41.013395993Z I0128 09:31:41.013277       1 cmd.go:253] Using service-serving-cert provided certificates
2026-01-28T09:31:41.013632978Z I0128 09:31:41.013601       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:31:41.015163683Z I0128 09:31:41.015131       1 observer_polling.go:159] Starting file observer
2026-01-28T09:31:41.032722326Z I0128 09:31:41.032687       1 builder.go:304] network-operator version 4.20.0-202601201850.p2.g63bfcda.assembly.stream.el9-63bfcda-63bfcdac6e6d861a4bc54dad13e91bd60e767b18
2026-01-28T09:31:41.356696003Z I0128 09:31:41.356667       1 secure_serving.go:57] Forcing use of http/1.1 only
2026-01-28T09:31:41.356761594Z W0128 09:31:41.356742       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:31:41.356792495Z W0128 09:31:41.356781       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:31:41.356820685Z W0128 09:31:41.356810       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_GCM_SHA256' detected.
2026-01-28T09:31:41.356846816Z W0128 09:31:41.356837       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_GCM_SHA384' detected.
2026-01-28T09:31:41.356871096Z W0128 09:31:41.356862       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_CBC_SHA' detected.
2026-01-28T09:31:41.356894177Z W0128 09:31:41.356885       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_CBC_SHA' detected.
2026-01-28T09:31:41.359874854Z I0128 09:31:41.359854       1 leaderelection.go:257] attempting to acquire leader lease openshift-network-operator/network-operator-lock...
2026-01-28T09:31:41.360080668Z I0128 09:31:41.360064       1 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
2026-01-28T09:31:41.360158610Z I0128 09:31:41.360143       1 shared_informer.go:350] "Waiting for caches to sync" controller="RequestHeaderAuthRequestController"
2026-01-28T09:31:41.360219491Z I0128 09:31:41.360207       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:31:41.360261022Z I0128 09:31:41.360248       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:31:41.360298833Z I0128 09:31:41.360288       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:31:41.360334814Z I0128 09:31:41.360324       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:31:41.360524588Z I0128 09:31:41.360503       1 secure_serving.go:211] Serving securely on [::]:9104
2026-01-28T09:31:41.360573149Z I0128 09:31:41.360557       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2026-01-28T09:31:41.360705292Z I0128 09:31:41.360684       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-01-28T09:31:41.368323283Z I0128 09:31:41.368295       1 leaderelection.go:271] successfully acquired lease openshift-network-operator/network-operator-lock
2026-01-28T09:31:41.368577839Z I0128 09:31:41.368552       1 event.go:377] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-network-operator", Name:"network-operator-lock", UID:"3b9479ae-4a06-416c-9c96-f3796e4ad7ff", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"9435", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' ip-10-0-102-200_ed40fe23-a936-4de3-a118-1aa96a82b6b9 became leader
2026-01-28T09:31:41.383701638Z I0128 09:31:41.383676       1 operator.go:104] Creating status manager for stand-alone cluster
2026-01-28T09:31:41.383771480Z I0128 09:31:41.383760       1 operator.go:108] Fetching cluster feature gates...
2026-01-28T09:31:41.383921163Z I0128 09:31:41.383907       1 operator.go:126] Waiting for feature gates initialization...
2026-01-28T09:31:41.384416724Z I0128 09:31:41.383993       1 simple_featuregate_reader.go:171] Starting feature-gate-detector
2026-01-28T09:31:41.387353920Z I0128 09:31:41.387312       1 operator.go:133] FeatureGates initialized: knownFeatureGates=[AdditionalRoutingCapabilities AdminNetworkPolicy AlibabaPlatform AzureWorkloadIdentity BuildCSIVolumes CPMSMachineNamePrefix ConsolePluginContentSecurityPolicy ExternalOIDC ExternalOIDCWithUIDAndExtraClaimMappings GatewayAPI GatewayAPIController HighlyAvailableArbiter ImageVolume IngressControllerLBSubnetsAWS KMSv1 MachineConfigNodes ManagedBootImages ManagedBootImagesAWS MetricsCollectionProfiles NetworkDiagnosticsConfig NetworkLiveMigration NetworkSegmentation NewOLM PinnedImages PreconfiguredUDNAddresses ProcMountType RouteAdvertisements RouteExternalCertificate ServiceAccountTokenNodeBinding SetEIPForNLBIngressController SigstoreImageVerification StoragePerformantSecurityPolicy UpgradeStatus UserNamespacesPodSecurityStandards UserNamespacesSupport VSphereMultiDisk VSphereMultiNetworks AWSClusterHostedDNS AWSClusterHostedDNSInstall AWSDedicatedHosts AWSServiceLBNetworkSecurityGroup AutomatedEtcdBackup AzureClusterHostedDNSInstall AzureDedicatedHosts AzureMultiDisk BootImageSkewEnforcement BootcNodeManagement ClusterAPIInstall ClusterAPIInstallIBMCloud ClusterMonitoringConfig ClusterVersionOperatorConfiguration DNSNameResolver DualReplica DyanmicServiceEndpointIBMCloud DynamicResourceAllocation EtcdBackendQuota EventedPLEG Example Example2 ExternalSnapshotMetadata GCPClusterHostedDNS GCPClusterHostedDNSInstall GCPCustomAPIEndpoints GCPCustomAPIEndpointsInstall ImageModeStatusReporting ImageStreamImportMode IngressControllerDynamicConfigurationManager InsightsConfig InsightsConfigAPI InsightsOnDemandDataGather IrreconcilableMachineConfig KMSEncryptionProvider MachineAPIMigration MachineAPIOperatorDisableMachineHealthCheckController ManagedBootImagesAzure ManagedBootImagesvSphere MaxUnavailableStatefulSet MinimumKubeletVersion MixedCPUsAllocation MultiArchInstallAzure MultiDiskSetup MutatingAdmissionPolicy NewOLMCatalogdAPIV1Metas NewOLMOwnSingleNamespace NewOLMPreflightPermissionChecks NewOLMWebhookProviderOpenshiftServiceCA NoRegistryClusterOperations NodeSwap NutanixMultiSubnets OVNObservability OpenShiftPodSecurityAdmission SELinuxMount ShortCertRotation SignatureStores SigstoreImageVerificationPKI TranslateStreamCloseWebsocketRequests VSphereConfigurableMaxAllowedBlockVolumesPerNode VSphereHostVMGroupZonal VSphereMixedNodeEnv VolumeAttributesClass VolumeGroupSnapshot]
2026-01-28T09:31:41.387399741Z I0128 09:31:41.387388       1 operator.go:145] Adding controller-runtime controllers
