2026-01-28T09:44:01.739537696Z I0128 09:44:01.739395       1 feature_gate.go:385] feature gates: {map[]}
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739549       1 flags.go:64] FLAG: --accesstoken-inactivity-timeout="0s"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739563       1 flags.go:64] FLAG: --admission-control-config-file=""
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739568       1 flags.go:64] FLAG: --advertise-address="<nil>"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739573       1 flags.go:64] FLAG: --api-audiences="[https://kubernetes.default.svc]"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739579       1 flags.go:64] FLAG: --audit-log-batch-buffer-size="10000"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739583       1 flags.go:64] FLAG: --audit-log-batch-max-size="1"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739587       1 flags.go:64] FLAG: --audit-log-batch-max-wait="0s"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739591       1 flags.go:64] FLAG: --audit-log-batch-throttle-burst="0"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739594       1 flags.go:64] FLAG: --audit-log-batch-throttle-enable="false"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739599       1 flags.go:64] FLAG: --audit-log-batch-throttle-qps="0"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739604       1 flags.go:64] FLAG: --audit-log-compress="false"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739608       1 flags.go:64] FLAG: --audit-log-format="json"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739611       1 flags.go:64] FLAG: --audit-log-maxage="0"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739615       1 flags.go:64] FLAG: --audit-log-maxbackup="10"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739619       1 flags.go:64] FLAG: --audit-log-maxsize="100"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739622       1 flags.go:64] FLAG: --audit-log-mode="blocking"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739627       1 flags.go:64] FLAG: --audit-log-path="/var/log/oauth-apiserver/audit.log"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739631       1 flags.go:64] FLAG: --audit-log-truncate-enabled="false"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739634       1 flags.go:64] FLAG: --audit-log-truncate-max-batch-size="10485760"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739645       1 flags.go:64] FLAG: --audit-log-truncate-max-event-size="102400"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739648       1 flags.go:64] FLAG: --audit-log-version="audit.k8s.io/v1"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739653       1 flags.go:64] FLAG: --audit-policy-file="/var/run/configmaps/audit/policy.yaml"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739657       1 flags.go:64] FLAG: --audit-webhook-batch-buffer-size="10000"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739661       1 flags.go:64] FLAG: --audit-webhook-batch-initial-backoff="10s"
2026-01-28T09:44:01.739669759Z I0128 09:44:01.739665       1 flags.go:64] FLAG: --audit-webhook-batch-max-size="400"
2026-01-28T09:44:01.739688709Z I0128 09:44:01.739668       1 flags.go:64] FLAG: --audit-webhook-batch-max-wait="30s"
2026-01-28T09:44:01.739688709Z I0128 09:44:01.739672       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-burst="15"
2026-01-28T09:44:01.739688709Z I0128 09:44:01.739676       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-enable="true"
2026-01-28T09:44:01.739688709Z I0128 09:44:01.739679       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-qps="10"
