2026-01-28T09:46:15.267346469Z I0128 09:46:15.267236       1 feature_gate.go:385] feature gates: {map[]}
2026-01-28T09:46:15.267522152Z I0128 09:46:15.267506       1 flags.go:64] FLAG: --accesstoken-inactivity-timeout="0s"
2026-01-28T09:46:15.267547793Z I0128 09:46:15.267538       1 flags.go:64] FLAG: --admission-control-config-file=""
2026-01-28T09:46:15.267568073Z I0128 09:46:15.267559       1 flags.go:64] FLAG: --advertise-address="<nil>"
2026-01-28T09:46:15.267592524Z I0128 09:46:15.267578       1 flags.go:64] FLAG: --api-audiences="[https://kubernetes.default.svc]"
2026-01-28T09:46:15.267611024Z I0128 09:46:15.267602       1 flags.go:64] FLAG: --audit-log-batch-buffer-size="10000"
2026-01-28T09:46:15.267627655Z I0128 09:46:15.267620       1 flags.go:64] FLAG: --audit-log-batch-max-size="1"
2026-01-28T09:46:15.267644445Z I0128 09:46:15.267637       1 flags.go:64] FLAG: --audit-log-batch-max-wait="0s"
2026-01-28T09:46:15.267660705Z I0128 09:46:15.267653       1 flags.go:64] FLAG: --audit-log-batch-throttle-burst="0"
2026-01-28T09:46:15.267677965Z I0128 09:46:15.267670       1 flags.go:64] FLAG: --audit-log-batch-throttle-enable="false"
2026-01-28T09:46:15.267696316Z I0128 09:46:15.267688       1 flags.go:64] FLAG: --audit-log-batch-throttle-qps="0"
2026-01-28T09:46:15.267712786Z I0128 09:46:15.267705       1 flags.go:64] FLAG: --audit-log-compress="false"
2026-01-28T09:46:15.267729147Z I0128 09:46:15.267722       1 flags.go:64] FLAG: --audit-log-format="json"
2026-01-28T09:46:15.267745257Z I0128 09:46:15.267738       1 flags.go:64] FLAG: --audit-log-maxage="0"
2026-01-28T09:46:15.267762097Z I0128 09:46:15.267754       1 flags.go:64] FLAG: --audit-log-maxbackup="10"
2026-01-28T09:46:15.267778558Z I0128 09:46:15.267771       1 flags.go:64] FLAG: --audit-log-maxsize="100"
2026-01-28T09:46:15.267795208Z I0128 09:46:15.267788       1 flags.go:64] FLAG: --audit-log-mode="blocking"
2026-01-28T09:46:15.267811698Z I0128 09:46:15.267804       1 flags.go:64] FLAG: --audit-log-path="/var/log/oauth-apiserver/audit.log"
2026-01-28T09:46:15.267827679Z I0128 09:46:15.267821       1 flags.go:64] FLAG: --audit-log-truncate-enabled="false"
2026-01-28T09:46:15.267844679Z I0128 09:46:15.267837       1 flags.go:64] FLAG: --audit-log-truncate-max-batch-size="10485760"
2026-01-28T09:46:15.267860960Z I0128 09:46:15.267854       1 flags.go:64] FLAG: --audit-log-truncate-max-event-size="102400"
2026-01-28T09:46:15.267877150Z I0128 09:46:15.267870       1 flags.go:64] FLAG: --audit-log-version="audit.k8s.io/v1"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.267971       1 flags.go:64] FLAG: --audit-policy-file="/var/run/configmaps/audit/policy.yaml"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.267980       1 flags.go:64] FLAG: --audit-webhook-batch-buffer-size="10000"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.267984       1 flags.go:64] FLAG: --audit-webhook-batch-initial-backoff="10s"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.267988       1 flags.go:64] FLAG: --audit-webhook-batch-max-size="400"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.267992       1 flags.go:64] FLAG: --audit-webhook-batch-max-wait="30s"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268002       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-burst="15"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268016       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-enable="true"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268020       1 flags.go:64] FLAG: --audit-webhook-batch-throttle-qps="10"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268024       1 flags.go:64] FLAG: --audit-webhook-config-file=""
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268027       1 flags.go:64] FLAG: --audit-webhook-initial-backoff="10s"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268031       1 flags.go:64] FLAG: --audit-webhook-mode="batch"
2026-01-28T09:46:15.268132405Z I0128 09:46:15.268034       1 flags.go:64] FLAG: --audit-webhook-truncate-enabled="false"
