2026-01-28T09:45:17.478652255Z I0128 09:45:17.478516       1 feature_gate.go:385] feature gates: {map[]}
2026-01-28T09:45:17.478881337Z I0128 09:45:17.478849       1 flags.go:64] FLAG: --accesstoken-inactivity-timeout="0s"
2026-01-28T09:45:17.478881337Z I0128 09:45:17.478864       1 flags.go:64] FLAG: --admission-control-config-file=""
2026-01-28T09:45:17.478881337Z I0128 09:45:17.478871       1 flags.go:64] FLAG: --advertise-address="<nil>"
2026-01-28T09:45:17.478899667Z I0128 09:45:17.478877       1 flags.go:64] FLAG: --api-audiences="[https://kubernetes.default.svc]"
2026-01-28T09:45:17.478899667Z I0128 09:45:17.478890       1 flags.go:64] FLAG: --audit-log-batch-buffer-size="10000"
2026-01-28T09:45:17.478899667Z I0128 09:45:17.478895       1 flags.go:64] FLAG: --audit-log-batch-max-size="1"
2026-01-28T09:45:17.478911278Z I0128 09:45:17.478899       1 flags.go:64] FLAG: --audit-log-batch-max-wait="0s"
2026-01-28T09:45:17.478911278Z I0128 09:45:17.478903       1 flags.go:64] FLAG: --audit-log-batch-throttle-burst="0"
2026-01-28T09:45:17.478911278Z I0128 09:45:17.478907       1 flags.go:64] FLAG: --audit-log-batch-throttle-enable="false"
2026-01-28T09:45:17.478922319Z I0128 09:45:17.478912       1 flags.go:64] FLAG: --audit-log-batch-throttle-qps="0"
2026-01-28T09:45:17.478922319Z I0128 09:45:17.478917       1 flags.go:64] FLAG: --audit-log-compress="false"
2026-01-28T09:45:17.478932489Z I0128 09:45:17.478921       1 flags.go:64] FLAG: --audit-log-format="json"
2026-01-28T09:45:17.478932489Z I0128 09:45:17.478925       1 flags.go:64] FLAG: --audit-log-maxage="0"
2026-01-28T09:45:17.478932489Z I0128 09:45:17.478928       1 flags.go:64] FLAG: --audit-log-maxbackup="10"
2026-01-28T09:45:17.478943409Z I0128 09:45:17.478932       1 flags.go:64] FLAG: --audit-log-maxsize="100"
2026-01-28T09:45:17.478943409Z I0128 09:45:17.478936       1 flags.go:64] FLAG: --audit-log-mode="blocking"
2026-01-28T09:45:17.478953870Z I0128 09:45:17.478940       1 flags.go:64] FLAG: --audit-log-path="/var/log/oauth-apiserver/audit.log"
2026-01-28T09:45:17.478953870Z I0128 09:45:17.478945       1 flags.go:64] FLAG: --audit-log-truncate-enabled="false"
2026-01-28T09:45:17.478964210Z I0128 09:45:17.478948       1 flags.go:64] FLAG: --audit-log-truncate-max-batch-size="10485760"
