2026-01-28T09:30:39.050606459Z W0128 09:30:39.050372       1 cmd.go:257] Using insecure, self-signed certificates
2026-01-28T09:30:39.050788353Z I0128 09:30:39.050762       1 crypto.go:601] Generating new CA for service-ca-controller-signer@1769592639 cert, and key in /tmp/serving-cert-3221151693/serving-signer.crt, /tmp/serving-cert-3221151693/serving-signer.key
2026-01-28T09:30:39.050788353Z Validity period of the certificate for "service-ca-controller-signer@1769592639" is unset, resetting to 157680000000000000 years!
2026-01-28T09:30:39.590781427Z I0128 09:30:39.590715       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:30:39.591053924Z I0128 09:30:39.591023       1 observer_polling.go:159] Starting file observer
2026-01-28T09:30:39.591107835Z I0128 09:30:39.591069       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-01-28T09:30:39.591107835Z I0128 09:30:39.591100       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-01-28T09:30:39.591123965Z I0128 09:30:39.591108       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2026-01-28T09:30:39.591123965Z I0128 09:30:39.591114       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2026-01-28T09:30:39.604373867Z I0128 09:30:39.604347       1 builder.go:304] service-ca-controller version -
2026-01-28T09:30:39.605155995Z I0128 09:30:39.605130       1 dynamic_serving_content.go:116] "Loaded a new cert/key pair" name="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key"
2026-01-28T09:30:39.994681552Z I0128 09:30:39.994502       1 requestheader_controller.go:255] Loaded a new request header values for RequestHeaderAuthRequestController
2026-01-28T09:30:39.996943152Z I0128 09:30:39.996911       1 maxinflight.go:139] "Initialized nonMutatingChan" len=400
2026-01-28T09:30:39.996943152Z I0128 09:30:39.996924       1 maxinflight.go:145] "Initialized mutatingChan" len=200
2026-01-28T09:30:39.996965832Z I0128 09:30:39.996948       1 maxinflight.go:116] "Set denominator for readonly requests" limit=400
2026-01-28T09:30:39.996965832Z I0128 09:30:39.996955       1 maxinflight.go:120] "Set denominator for mutating requests" limit=200
2026-01-28T09:30:39.999417456Z I0128 09:30:39.999397       1 secure_serving.go:57] Forcing use of http/1.1 only
2026-01-28T09:30:39.999444987Z I0128 09:30:39.999414       1 genericapiserver.go:535] MuxAndDiscoveryComplete has all endpoints registered and discovery information is complete
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999417       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999423       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999429       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_GCM_SHA256' detected.
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999433       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_GCM_SHA384' detected.
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999437       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_CBC_SHA' detected.
2026-01-28T09:30:39.999444987Z W0128 09:30:39.999441       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_CBC_SHA' detected.
2026-01-28T09:30:40.001486962Z I0128 09:30:40.001469       1 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
2026-01-28T09:30:40.001569104Z I0128 09:30:40.001558       1 shared_informer.go:313] Waiting for caches to sync for RequestHeaderAuthRequestController
2026-01-28T09:30:40.001642705Z I0128 09:30:40.001627       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:30:40.001674556Z I0128 09:30:40.001663       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2026-01-28T09:30:40.001741118Z I0128 09:30:40.001727       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:30:40.001770678Z I0128 09:30:40.001760       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2026-01-28T09:30:40.002130806Z I0128 09:30:40.002082       1 tlsconfig.go:203] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1769592639\" (2026-01-28 09:30:38 +0000 UTC to 2026-01-28 09:30:39 +0000 UTC (now=2026-01-28 09:30:40.002054214 +0000 UTC))"
2026-01-28T09:30:40.002386442Z I0128 09:30:40.002370       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1769592639\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1769592639\" (2026-01-28 08:30:39 +0000 UTC to 2027-01-28 08:30:39 +0000 UTC (now=2026-01-28 09:30:40.002343891 +0000 UTC))"
2026-01-28T09:30:40.002424673Z I0128 09:30:40.002413       1 secure_serving.go:213] Serving securely on [::]:8443
2026-01-28T09:30:40.002462323Z I0128 09:30:40.002453       1 genericapiserver.go:685] [graceful-termination] waiting for shutdown to be initiated
2026-01-28T09:30:40.002505374Z I0128 09:30:40.002492       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key"
2026-01-28T09:30:40.002788110Z I0128 09:30:40.002765       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-01-28T09:30:40.002996855Z I0128 09:30:40.002977       1 leaderelection.go:257] attempting to acquire leader lease openshift-service-ca/service-ca-controller-lock...
2026-01-28T09:30:40.003247491Z I0128 09:30:40.003228       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.003423235Z I0128 09:30:40.003405       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.003612659Z I0128 09:30:40.003584       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.008417955Z I0128 09:30:40.008397       1 leaderelection.go:271] successfully acquired lease openshift-service-ca/service-ca-controller-lock
2026-01-28T09:30:40.008553468Z I0128 09:30:40.008467       1 event.go:377] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-service-ca", Name:"service-ca-controller-lock", UID:"29c96c46-1159-4369-89f2-1aac3934b439", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"6449", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' service-ca-59d858b8c5-jkhh8_f3b13465-ec18-42f3-8f8b-10af91b19bd7 became leader
2026-01-28T09:30:40.009466218Z I0128 09:30:40.009448       1 base_controller.go:76] Waiting for caches to sync for ConfigMapCABundleInjector
2026-01-28T09:30:40.009608521Z I0128 09:30:40.009591       1 base_controller.go:76] Waiting for caches to sync for APIServiceCABundleInjector
2026-01-28T09:30:40.009648962Z I0128 09:30:40.009612       1 base_controller.go:76] Waiting for caches to sync for MutatingWebhookCABundleInjector
2026-01-28T09:30:40.009698693Z I0128 09:30:40.009621       1 base_controller.go:76] Waiting for caches to sync for CRDCABundleInjector
2026-01-28T09:30:40.009698693Z I0128 09:30:40.009633       1 base_controller.go:76] Waiting for caches to sync for ValidatingWebhookCABundleInjector
2026-01-28T09:30:40.009713743Z I0128 09:30:40.009662       1 base_controller.go:76] Waiting for caches to sync for LegacyVulnerableConfigMapCABundleInjector
2026-01-28T09:30:40.009924198Z I0128 09:30:40.009905       1 starter.go:62] Setting certificate lifetime to 17520h0m0s, refresh certificate at 1h0m0s
2026-01-28T09:30:40.010130642Z I0128 09:30:40.010112       1 base_controller.go:76] Waiting for caches to sync for ServiceServingCertUpdateController
2026-01-28T09:30:40.010205304Z I0128 09:30:40.010192       1 base_controller.go:76] Waiting for caches to sync for ServiceServingCertController
2026-01-28T09:30:40.010554872Z I0128 09:30:40.010532       1 reflector.go:376] Caches populated for *v1.APIService from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.010791807Z I0128 09:30:40.010772       1 reflector.go:376] Caches populated for *v1.ValidatingWebhookConfiguration from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.012798601Z I0128 09:30:40.012778       1 reflector.go:376] Caches populated for *v1.MutatingWebhookConfiguration from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.013068587Z I0128 09:30:40.013040       1 reflector.go:376] Caches populated for *v1.Service from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.016392741Z I0128 09:30:40.016371       1 reflector.go:376] Caches populated for *v1.Secret from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.084604224Z I0128 09:30:40.084553       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.101730232Z I0128 09:30:40.101694       1 shared_informer.go:320] Caches are synced for RequestHeaderAuthRequestController
2026-01-28T09:30:40.101776863Z I0128 09:30:40.101769       1 shared_informer.go:320] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2026-01-28T09:30:40.101932346Z I0128 09:30:40.101909       1 shared_informer.go:320] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2026-01-28T09:30:40.102136161Z I0128 09:30:40.102107       1 tlsconfig.go:181] "Loaded client CA" index=0 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"admin-kubeconfig-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:02 +0000 UTC to 2036-01-26 09:13:02 +0000 UTC (now=2026-01-28 09:30:40.102056829 +0000 UTC))"
2026-01-28T09:30:40.102182242Z I0128 09:30:40.102158       1 tlsconfig.go:181] "Loaded client CA" index=1 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:06 +0000 UTC to 2026-01-29 09:13:06 +0000 UTC (now=2026-01-28 09:30:40.102134861 +0000 UTC))"
2026-01-28T09:30:40.102195332Z I0128 09:30:40.102182       1 tlsconfig.go:181] "Loaded client CA" index=2 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-control-plane-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:06 +0000 UTC to 2027-01-28 09:13:06 +0000 UTC (now=2026-01-28 09:30:40.102170052 +0000 UTC))"
2026-01-28T09:30:40.102215613Z I0128 09:30:40.102200       1 tlsconfig.go:181] "Loaded client CA" index=3 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-apiserver-to-kubelet-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:07 +0000 UTC to 2027-01-28 09:13:07 +0000 UTC (now=2026-01-28 09:30:40.102189162 +0000 UTC))"
2026-01-28T09:30:40.102225533Z I0128 09:30:40.102216       1 tlsconfig.go:181] "Loaded client CA" index=4 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-bootstrap-kubeconfig-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:03 +0000 UTC to 2036-01-26 09:13:03 +0000 UTC (now=2026-01-28 09:30:40.102205562 +0000 UTC))"
2026-01-28T09:30:40.102419637Z I0128 09:30:40.102395       1 tlsconfig.go:203] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1769592639\" (2026-01-28 09:30:38 +0000 UTC to 2026-01-28 09:30:39 +0000 UTC (now=2026-01-28 09:30:40.102372656 +0000 UTC))"
2026-01-28T09:30:40.102563030Z I0128 09:30:40.102541       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1769592639\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1769592639\" (2026-01-28 08:30:39 +0000 UTC to 2027-01-28 08:30:39 +0000 UTC (now=2026-01-28 09:30:40.102530309 +0000 UTC))"
2026-01-28T09:30:40.102664422Z I0128 09:30:40.102643       1 tlsconfig.go:181] "Loaded client CA" index=0 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"admin-kubeconfig-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:02 +0000 UTC to 2036-01-26 09:13:02 +0000 UTC (now=2026-01-28 09:30:40.102633522 +0000 UTC))"
2026-01-28T09:30:40.102678073Z I0128 09:30:40.102668       1 tlsconfig.go:181] "Loaded client CA" index=1 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:06 +0000 UTC to 2026-01-29 09:13:06 +0000 UTC (now=2026-01-28 09:30:40.102654362 +0000 UTC))"
2026-01-28T09:30:40.102711333Z I0128 09:30:40.102691       1 tlsconfig.go:181] "Loaded client CA" index=2 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-control-plane-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:06 +0000 UTC to 2027-01-28 09:13:06 +0000 UTC (now=2026-01-28 09:30:40.102674623 +0000 UTC))"
2026-01-28T09:30:40.102723314Z I0128 09:30:40.102715       1 tlsconfig.go:181] "Loaded client CA" index=3 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-apiserver-to-kubelet-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:07 +0000 UTC to 2027-01-28 09:13:07 +0000 UTC (now=2026-01-28 09:30:40.102701673 +0000 UTC))"
2026-01-28T09:30:40.102755654Z I0128 09:30:40.102732       1 tlsconfig.go:181] "Loaded client CA" index=4 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-bootstrap-kubeconfig-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:03 +0000 UTC to 2036-01-26 09:13:03 +0000 UTC (now=2026-01-28 09:30:40.102720964 +0000 UTC))"
2026-01-28T09:30:40.102773435Z I0128 09:30:40.102757       1 tlsconfig.go:181] "Loaded client CA" index=5 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"aggregator-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:04 +0000 UTC to 2026-01-29 09:13:04 +0000 UTC (now=2026-01-28 09:30:40.102745904 +0000 UTC))"
2026-01-28T09:30:40.102909538Z I0128 09:30:40.102887       1 tlsconfig.go:203] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1769592639\" (2026-01-28 09:30:38 +0000 UTC to 2026-01-28 09:30:39 +0000 UTC (now=2026-01-28 09:30:40.102879457 +0000 UTC))"
2026-01-28T09:30:40.103042321Z I0128 09:30:40.103021       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1769592639\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1769592639\" (2026-01-28 08:30:39 +0000 UTC to 2027-01-28 08:30:39 +0000 UTC (now=2026-01-28 09:30:40.10301239 +0000 UTC))"
2026-01-28T09:30:40.111046757Z I0128 09:30:40.111015       1 base_controller.go:82] Caches are synced for APIServiceCABundleInjector 
2026-01-28T09:30:40.111113949Z I0128 09:30:40.111084       1 base_controller.go:119] Starting #1 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111175960Z I0128 09:30:40.111141       1 base_controller.go:82] Caches are synced for ValidatingWebhookCABundleInjector 
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111139       1 base_controller.go:119] Starting #2 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111179       1 base_controller.go:119] Starting #1 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111181       1 base_controller.go:119] Starting #3 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111184       1 base_controller.go:119] Starting #2 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111186       1 base_controller.go:119] Starting #4 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111190       1 base_controller.go:119] Starting #3 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111195       1 base_controller.go:119] Starting #4 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111199       1 base_controller.go:119] Starting #5 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111213571Z I0128 09:30:40.111118       1 base_controller.go:82] Caches are synced for ServiceServingCertController 
2026-01-28T09:30:40.111213571Z I0128 09:30:40.111208       1 base_controller.go:119] Starting #1 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111223651Z I0128 09:30:40.111212       1 base_controller.go:119] Starting #2 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111223651Z I0128 09:30:40.111217       1 base_controller.go:119] Starting #3 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111223       1 admissionwebhook.go:116] updating validatingwebhookconfiguration multus.openshift.io with the service signing CA bundle
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111221       1 base_controller.go:119] Starting #4 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111229       1 base_controller.go:119] Starting #5 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111366714Z I0128 09:30:40.111123       1 base_controller.go:82] Caches are synced for LegacyVulnerableConfigMapCABundleInjector 
2026-01-28T09:30:40.111403855Z I0128 09:30:40.111392       1 base_controller.go:119] Starting #1 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111431986Z I0128 09:30:40.111421       1 base_controller.go:119] Starting #2 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111456726Z I0128 09:30:40.111447       1 base_controller.go:119] Starting #3 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111481457Z I0128 09:30:40.111472       1 base_controller.go:119] Starting #4 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111504527Z I0128 09:30:40.111495       1 base_controller.go:119] Starting #5 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111535798Z I0128 09:30:40.111128       1 base_controller.go:82] Caches are synced for ServiceServingCertUpdateController 
2026-01-28T09:30:40.111582269Z I0128 09:30:40.111553       1 base_controller.go:119] Starting #1 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111620810Z I0128 09:30:40.111609       1 base_controller.go:119] Starting #2 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111646050Z I0128 09:30:40.111636       1 base_controller.go:119] Starting #3 worker of ServiceServingCertUpdateController controller ...
